id,station,date,method_1_hours,method_2_hours
228,Corpus Christi Agrilife (ID: 322),2024-11-27,0,0
229,Corpus Christi Agrilife (ID: 322),2024-11-26,0,0
230,Corpus Christi Agrilife (ID: 322),2024-11-25,0,0
231,Corpus Christi Agrilife (ID: 322),2024-11-24,0,0
232,Corpus Christi Agrilife (ID: 322),2024-11-23,0,0
233,Corpus Christi Agrilife (ID: 322),2024-11-22,0,0
234,Corpus Christi Agrilife (ID: 322),2024-11-21,0,0
235,Corpus Christi Agrilife (ID: 322),2024-11-20,0,0
236,Corpus Christi Agrilife (ID: 322),2024-11-19,0,0
237,Corpus Christi Agrilife (ID: 322),2024-11-18,0,0
238,Corpus Christi Agrilife (ID: 322),2024-11-17,0,0
239,Corpus Christi Agrilife (ID: 322),2024-11-16,0,0
240,Corpus Christi Agrilife (ID: 322),2024-11-15,0,0
241,Corpus Christi Agrilife (ID: 322),2024-11-14,0,0
242,Corpus Christi North (ID: 327),2024-11-26,0,0
243,Corpus Christi North (ID: 327),2024-11-25,0,0
244,Corpus Christi North (ID: 327),2024-11-24,0,0
245,Corpus Christi North (ID: 327),2024-11-23,0,0
246,Corpus Christi North (ID: 327),2024-11-22,0,0
247,Corpus Christi North (ID: 327),2024-11-21,1,1
248,Corpus Christi North (ID: 327),2024-11-20,0,0
249,Corpus Christi North (ID: 327),2024-11-19,0,0
250,Corpus Christi North (ID: 327),2024-11-18,0,0
251,Corpus Christi North (ID: 327),2024-11-17,0,0
252,Corpus Christi North (ID: 327),2024-11-16,0,0
253,Corpus Christi North (ID: 327),2024-11-15,0,0
254,Corpus Christi North (ID: 327),2024-11-14,0,0
255,Corpus Christi South (ID: 328),2024-11-24,0,0
256,Corpus Christi South (ID: 328),2024-11-23,0,0
257,Corpus Christi South (ID: 328),2024-11-22,0,0
258,Corpus Christi South (ID: 328),2024-11-21,0,0
259,Corpus Christi South (ID: 328),2024-11-20,0,0
260,Corpus Christi South (ID: 328),2024-11-19,0,0
261,Corpus Christi South (ID: 328),2024-11-18,0,0
262,Corpus Christi South (ID: 328),2024-11-17,0,0
263,Corpus Christi South (ID: 328),2024-11-16,0,0
264,Corpus Christi South (ID: 328),2024-11-15,0,0
265,Corpus Christi South (ID: 328),2024-11-14,0,0
266,Dickinson (ID: 149),2024-11-27,0,0
267,Dickinson (ID: 149),2024-11-26,0,0
268,Dickinson (ID: 149),2024-11-25,0,0
